Country,Rank,Bsk.M,Bsk.W,Crk.M,Crk.W,Ftb.M,Ftb.W,Hck.M,Hck.W,Rgb.M,Rgb.W,Vbl.M,Vbl.W,Wtp.M,Wtp.W,Bsk.Avg,Crk.Avg,Ftb.Avg,Hck.Avg,Rgb.Avg,Vbl.Avg,Wtp.Avg,M.Total,W.Total,Total,M.Rat,W.Rat,SGDPPC
Malaysia,35,113,49,36,34,159,90,13,22,50,48,#N/A,#N/A,#N/A,#N/A,81,35,124.5,17.5,49,#DIV/0!,#DIV/0!,5,5,10,0.5,0.5,29511.44283
Spain,36,2,2,43,#N/A,7,13,9,7,6,19,35,52,10,5,2,43,10,8,12.5,43.5,7.5,7,6,13,0.538461538,0.461538462,39037.4328
Colombia,37,79,34,#N/A,#N/A,13,27,#N/A,#N/A,49,33,44,29,#N/A,#N/A,56.5,#DIV/0!,20,#DIV/0!,41,36.5,#DIV/0!,4,4,8,0.5,0.5,14503.32619
Trinidad and Tobago,38,#N/A,#N/A,9,4,92,60,33,#N/A,31,52,45,28,19,#N/A,#DIV/0!,6.5,76,33,41.5,36.5,19,6,4,10,0.6,0.4,31644.68496
Slovakia,39,75,28,#N/A,#N/A,31,47,#N/A,#N/A,84,#N/A,28,54,30,#N/A,51.5,#DIV/0!,39,#DIV/0!,84,41,30,5,3,8,0.625,0.375,32371.22295
El Salvador,40,119,#N/A,#N/A,#N/A,69,104,#N/A,#N/A,117,#N/A,112,96,#N/A,#N/A,119,#DIV/0!,86.5,#DIV/0!,117,104,#DIV/0!,4,2,6,0.666666667,0.333333333,8023.049133
Nicaragua,41,111,#N/A,#N/A,#N/A,129,121,#N/A,#N/A,#N/A,#N/A,113,41,#N/A,#N/A,111,#DIV/0!,125,#DIV/0!,#DIV/0!,77,#DIV/0!,3,2,5,0.6,0.4,5854.569736
Poland,42,25,51,#N/A,#N/A,19,28,21,23,48,34,4,26,#N/A,#N/A,38,#DIV/0!,23.5,22,41,15,#DIV/0!,5,5,10,0.5,0.5,29923.70957
Bahrain,43,112,#N/A,48,#N/A,110,82,#N/A,#N/A,#N/A,#N/A,133,#N/A,#N/A,#N/A,112,48,96,#DIV/0!,#DIV/0!,133,#DIV/0!,4,1,5,0.8,0.2,47708.05549
Uzbekistan,44,136,54,#N/A,#N/A,84,42,#N/A,#N/A,51,92,143,121,51,15,95,#DIV/0!,63,#DIV/0!,71.5,132,33,5,5,10,0.5,0.5,6879.568017
Kuwait,45,138,#N/A,28,35,156,#N/A,#N/A,#N/A,#N/A,#N/A,135,#N/A,40,#N/A,138,31.5,156,#DIV/0!,#DIV/0!,135,40,5,1,6,0.833333333,0.166666667,72095.68138
Thailand,46,102,52,57,12,116,34,#N/A,28,28,75,40,14,47,17,77,34.5,75,28,51.5,27,32,6,7,13,0.461538462,0.538461538,17910.14892
Italy,47,13,31,22,#N/A,14,15,32,17,11,14,3,8,3,3,22,22,14.5,24.5,12.5,5.5,3,7,6,13,0.538461538,0.461538462,40923.70222
Ecuador,48,126,48,#N/A,#N/A,60,62,#N/A,#N/A,#N/A,#N/A,173,153,34,#N/A,87,#DIV/0!,61,#DIV/0!,#DIV/0!,163,34,4,3,7,0.571428571,0.428571429,11612.04504
Belize,49,#N/A,#N/A,46,#N/A,166,#N/A,#N/A,#N/A,#N/A,#N/A,121,120,#N/A,#N/A,#DIV/0!,46,166,#DIV/0!,#DIV/0!,120.5,#DIV/0!,3,1,4,0.75,0.25,8525.127994
Lithuania,50,6,29,#N/A,#N/A,132,107,#N/A,#N/A,79,35,164,#N/A,#N/A,#N/A,17.5,#DIV/0!,119.5,#DIV/0!,57,164,#DIV/0!,4,3,7,0.571428571,0.428571429,33252.67683
Slovenia,51,7,63,#N/A,#N/A,65,52,#N/A,#N/A,75,70,17,44,#N/A,#N/A,35,#DIV/0!,58.5,#DIV/0!,72.5,30.5,#DIV/0!,4,4,8,0.5,0.5,36387.46435
Romania,52,61,79,#N/A,#N/A,27,41,#N/A,#N/A,33,18,59,64,29,#N/A,70,#DIV/0!,34,#DIV/0!,25.5,61.5,29,5,4,9,0.555555556,0.444444444,26660.20328
Latvia,53,15,24,#N/A,#N/A,137,94,#N/A,#N/A,68,58,74,69,#N/A,#N/A,19.5,#DIV/0!,115.5,#DIV/0!,63,71.5,#DIV/0!,4,4,8,0.5,0.5,28362.01204
Japan,54,48,10,55,29,29,7,18,14,15,11,11,6,8,9,29,42,18,16,13,8.5,8.5,7,7,14,0.5,0.5,42066.5763
Mauritius,55,#N/A,#N/A,#N/A,#N/A,157,#N/A,#N/A,#N/A,129,93,99,124,#N/A,#N/A,#DIV/0!,#DIV/0!,157,#DIV/0!,111,111.5,#DIV/0!,3,2,5,0.6,0.4,22356.15667
Jamaica,56,72,36,9,4,54,53,#N/A,#N/A,47,67,85,46,#N/A,#N/A,54,6.5,53.5,#DIV/0!,57,65.5,#DIV/0!,5,5,10,0.5,0.5,9065.611971
South Korea,57,32,18,66,41,37,14,17,11,59,#N/A,24,9,39,#N/A,25,53.5,25.5,14,59,16.5,39,7,5,12,0.583333333,0.416666667,38824.11539
Northern Cyprus,58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,#N/A
Russia,59,10,11,#N/A,#N/A,44,25,22,25,12,20,5,5,13,2,10.5,#DIV/0!,34.5,23.5,16,5,7.5,6,6,12,0.5,0.5,25763.2592
Kazakhstan,60,70,46,#N/A,#N/A,114,73,#N/A,33,16,64,39,23,12,13,58,#DIV/0!,93.5,33,40,31,12.5,5,6,11,0.454545455,0.545454545,26490.84245
Cyprus,61,93,#N/A,#N/A,#N/A,93,115,#N/A,#N/A,#N/A,#N/A,68,66,#N/A,#N/A,93,#DIV/0!,104,#DIV/0!,#DIV/0!,67,#DIV/0!,3,2,5,0.6,0.4,36012.37464
Bolivia,62,129,#N/A,#N/A,#N/A,62,92,#N/A,#N/A,#N/A,#N/A,172,152,#N/A,#N/A,129,#DIV/0!,77,#DIV/0!,#DIV/0!,162,#DIV/0!,3,2,5,0.6,0.4,7575.681951
Estonia,63,45,#N/A,#N/A,#N/A,99,99,#N/A,#N/A,#N/A,#N/A,26,58,#N/A,#N/A,45,#DIV/0!,99,#DIV/0!,#DIV/0!,42,#DIV/0!,3,2,5,0.6,0.4,33447.82772
Paraguay,64,76,37,#N/A,#N/A,36,48,#N/A,#N/A,77,44,110,140,#N/A,#N/A,56.5,#DIV/0!,42,#DIV/0!,60.5,125,#DIV/0!,4,4,8,0.5,0.5,13109.34358
Peru,65,151,#N/A,47,52,21,65,#N/A,#N/A,76,77,104,27,44,#N/A,151,49.5,43,#DIV/0!,76.5,65.5,44,6,4,10,0.6,0.4,13462.73931
Kosovo,66,90,#N/A,#N/A,#N/A,121,123,#N/A,#N/A,#N/A,#N/A,87,71,#N/A,#N/A,90,#DIV/0!,122,#DIV/0!,#DIV/0!,79,#DIV/0!,3,2,5,0.6,0.4,10759.64838
Moldova,67,128,#N/A,#N/A,#N/A,170,95,#N/A,#N/A,45,56,78,135,#N/A,#N/A,128,#DIV/0!,132.5,#DIV/0!,50.5,106.5,#DIV/0!,4,3,7,0.571428571,0.428571429,5710.817708
Turkmenistan,68,#N/A,#N/A,#N/A,#N/A,135,#N/A,#N/A,#N/A,#N/A,#N/A,163,#N/A,#N/A,#N/A,#DIV/0!,#DIV/0!,135,#DIV/0!,#DIV/0!,163,#DIV/0!,2,0,2,1,0,18030.94961
Hungary,69,36,50,59,#N/A,42,45,#N/A,#N/A,46,68,81,35,4,4,43,59,43.5,#DIV/0!,57,58,4,6,5,11,0.545454545,0.454545455,28798.64256
Libya,70,163,#N/A,#N/A,#N/A,106,#N/A,#N/A,#N/A,#N/A,#N/A,84,#N/A,#N/A,#N/A,163,#DIV/0!,106,#DIV/0!,#DIV/0!,84,#DIV/0!,3,0,3,1,0,19672.95961
Philippines,71,31,47,44,#N/A,126,74,#N/A,#N/A,38,42,166,122,28,28,39,44,100,#DIV/0!,40,144,28,6,5,11,0.545454545,0.454545455,8360.509005
Honduras,72,110,#N/A,#N/A,#N/A,61,#N/A,#N/A,#N/A,#N/A,#N/A,109,98,#N/A,#N/A,110,#DIV/0!,61,#DIV/0!,#DIV/0!,103.5,#DIV/0!,3,1,4,0.75,0.25,4996.812797
Belarus,73,56,13,#N/A,#N/A,83,55,31,20,#N/A,#N/A,50,56,#N/A,#N/A,34.5,#DIV/0!,69,25.5,#DIV/0!,53,#DIV/0!,4,4,8,0.5,0.5,18895.59379
Turkey,74,17,6,#N/A,#N/A,38,61,#N/A,34,98,#N/A,33,12,49,33,11.5,#DIV/0!,49.5,34,98,22.5,41,5,5,10,0.5,0.5,28001.82768
Pakistan,75,#N/A,#N/A,1,7,205,#N/A,#N/A,#N/A,#N/A,#N/A,65,161,#N/A,#N/A,#DIV/0!,4,205,#DIV/0!,#DIV/0!,113,#DIV/0!,3,2,5,0.6,0.4,5539.107494
Hong Kong,76,101,64,19,22,142,76,#N/A,#N/A,23,24,145,118,25,19,82.5,20.5,109,#DIV/0!,23.5,131.5,22,6,6,12,0.5,0.5,61670.7546
